no;kdprov;kdkab;nama_perusahaan;alamat;kdprovkab;lblkab;kawasan_fasih;nama_kawasan;kawasan
5620;72;03;GREEN ECO NICKEL, PT;KAWASAN INDUSTRI MOROWALI, JL. TRANS SULAWESI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5621;72;03;GUANGCHINGDE METAL ROLLING;DESA FATUFIA, BAHODOPI, PT IMIP;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5622;72;03;MEIMING NEW ENERGY MATERIAL, PT;DESA FATUFIA, BAHODOPI, PT IMIP;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5623;72;03;PT INDONESIA TSINGSHAN STAINLESS STEEL;DESA FATUFIA, KEC. BAHODOPI, KAB. MOROWALI, SULAWESI TENGAH, KAB. MOROWALI, PROVINSI SULAWESI TENGAH;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5624;72;03;SHUOSHI INDONESIA INVESTMENT, PT;TOFOGARO, BUNGKU BARAT;7203;[03] MOROWALI;Kawasan Industri;Indonesia Huabao Industrial Park (IHIP);Kawasan Industri
5625;72;03;PT ESG NEW ENERGY MATERIAL;KAWASAN INDUSTRI PT IMIP, DESA FATUFIA, KEC. BAHODOPI, KAB. MOROWALI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5626;72;03;PT QMB NEW ENERGY MATERIAL;JL. TRANS SULAWESI (KAWASAN PT. IMIP), FATUFIA, BAHODOPI, KAB. MOROWALI, SULAWESI TENGAH, 94951;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5627;72;03;PT SULAWESI MANGANESE RECYCLE;JL. TRANS SULAWESI (KAWASAN PT.IMIP), FATUFIA, BAHODOPI, KAB. MOROWALI, SULAWESI TENGAH, 94951;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5628;72;03;PT SULAWESI NICKEL COBALT;JL. TRANS SULAWESI (KAWASAN PT.IMIP), FATUFIA, BAHODOPI, KAB. MOROWALI, SULAWESI TENGAH, 94951;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5629;72;03;TAIXIN STAINLESS STEEL INDONESIA;KAWASAN INDUSTRI ANUGRAH TAMBANG INDONESIA;;;;;Kawasan Industri
5630;72;03;INDONESIA QINGMEI ENERGY MATERIALS;KAWASAN INDUSTRI MOROWALI;;;;;Kawasan Industri
5631;72;03;PT BINTANGDELAPAN MINERAL;;;;;;Kawasan Industri
5632;72;03;PT BTR NEW ENERGY MATERIALS;JALAN TRANS SULAWESI (KAWASAN IMIP) DESA FATUFIA KEC. BAHOMAKMUR PROVINSI SULAWESI TENGAH;;;;;Kawasan Industri
